,review_number,revision_number,status,author,url,start_date,start_time,close_date,close_time
1806,57462,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/57462/2,2015-12-04,09:08:15.875000000,2015-12-04,10:41:25.850000000
1811,57530,5,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/57530/5,2015-12-08,10:40:30.090000000,2015-12-16,14:47:05.809000000
1826,57844,15,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/57844/15,2015-12-16,07:45:15.470000000,2016-02-17,14:00:16.782000000
1828,57848,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/57848/2,2015-12-16,15:37:34.825000000,2015-12-16,15:47:50.412000000
1830,57910,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/57910/2,2015-12-17,13:26:07.662000000,2015-12-17,17:39:40.193000000
1834,58002,4,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/58002/4,2015-12-21,10:58:45.996000000,2015-12-23,14:43:03.952000000
1842,58027,8,ApproveAfterChange,Gisselle Stewart,http://review.couchbase.org/#/c/58027/8,2015-12-22,03:21:48.145000000,2015-12-24,10:38:55.758000000
1846,58040,4,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/58040/4,2015-12-22,11:24:56.710000000,2015-12-22,11:58:08.123000000
1853,58055,7,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/58055/7,2015-12-22,14:52:13.723000000,2016-01-04,10:30:46.784000000
1858,58061,5,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/58061/5,2015-12-22,16:34:17.536000000,2016-01-04,10:47:22.442000000
1860,58111,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/58111/2,2015-12-24,10:04:43.444000000,2015-12-24,10:38:27.179000000
1862,58115,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/58115/2,2015-12-24,10:24:43.000000000,2015-12-24,10:39:08.644000000
1867,58156,5,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/58156/5,2015-12-30,09:24:56.964000000,2016-01-04,10:53:43.215000000
