,review_number,revision_number,status,author,url,start_date,start_time,close_date,close_time
5430,58532,2,DirectlyApprove,Theodore Roberson,http://review.couchbase.org/#/c/58532/2,2016-01-12,12:54:16.045000000,2016-01-12,13:03:19.860000000
5435,58533,5,ApproveAfterChange,Kinsley Fox,http://review.couchbase.org/#/c/58533/5,2016-01-12,13:01:48.996000000,2016-01-13,10:01:51.651000000
5441,58534,6,ApproveAfterChange,Kinsley Fox,http://review.couchbase.org/#/c/58534/6,2016-01-12,13:43:14.366000000,2016-01-13,16:46:55.167000000
5442,58540,1,DirectlyApprove,Kinsley Fox,http://review.couchbase.org/#/c/58540/1,2016-01-12,16:57:40.371000000,2016-01-12,17:00:54.820000000
5445,58690,3,Rejected,Leonel Abbott,http://review.couchbase.org/#/c/58690/3,2016-01-15,12:12:58.432000000,2016-01-20,11:20:22.633000000
5446,58719,1,Rejected,Kinsley Fox,http://review.couchbase.org/#/c/58719/1,2016-01-16,05:35:53.931000000,2016-02-09,09:16:14.476000000
5447,58726,1,Rejected,Justice Schneider,http://review.couchbase.org/#/c/58726/1,2016-01-17,05:11:15.941000000,2016-01-17,05:14:23.177000000
5448,58727,1,Rejected,Justice Schneider,http://review.couchbase.org/#/c/58727/1,2016-01-17,05:11:15.942000000,2016-01-17,05:14:44.454000000
5449,58728,1,DirectlyApprove,Justice Schneider,http://review.couchbase.org/#/c/58728/1,2016-01-17,05:37:37.456000000,2016-01-18,04:02:35.794000000
5450,58734,1,DirectlyApprove,Maliyah Fischer,http://review.couchbase.org/#/c/58734/1,2016-01-18,10:00:24.854000000,2016-01-18,10:58:21.144000000
5451,58735,1,DirectlyApprove,Maliyah Fischer,http://review.couchbase.org/#/c/58735/1,2016-01-18,10:00:24.854000000,2016-01-18,10:58:25.673000000
5452,58736,1,DirectlyApprove,Maliyah Fischer,http://review.couchbase.org/#/c/58736/1,2016-01-18,10:00:24.854000000,2016-01-18,10:58:28.827000000
5453,58743,1,DirectlyApprove,Maliyah Fischer,http://review.couchbase.org/#/c/58743/1,2016-01-18,14:22:55.421000000,2016-01-18,17:04:00.609000000
5460,58758,7,ApproveAfterChange,Dominique Stanton,http://review.couchbase.org/#/c/58758/7,2016-01-18,21:46:34.036000000,2016-02-02,20:43:16.505000000
