review_number,revision_number,status,author,url,close_date,close_time
51642,2,DirectlyApprove,Shaniya Barton,http://review.couchbase.org/#/c/51642/2,2015-06-02,09:29:12.623000000
51644,2,DirectlyApprove,Shaniya Barton,http://review.couchbase.org/#/c/51644/2,2015-06-01,16:51:58.096000000
51645,2,DirectlyApprove,Shaniya Barton,http://review.couchbase.org/#/c/51645/2,2015-06-02,09:28:49.362000000
51657,1,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51657/1,2015-06-01,19:47:54.197000000
51659,3,ApproveAfterChange,Meghan Vazquez,http://review.couchbase.org/#/c/51659/3,2015-06-03,00:21:21.444000000
51660,3,ApproveAfterChange,Meghan Vazquez,http://review.couchbase.org/#/c/51660/3,2015-06-03,00:22:57.827000000
51669,2,DirectlyApprove,Philip Lara,http://review.couchbase.org/#/c/51669/2,2015-06-02,19:21:58.481000000
51670,2,DirectlyApprove,Philip Lara,http://review.couchbase.org/#/c/51670/2,2015-06-02,19:24:09.671000000
51672,4,ApproveAfterChange,Philip Lara,http://review.couchbase.org/#/c/51672/4,2015-06-06,03:46:56.266000000
51675,3,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51675/3,2015-06-04,04:12:52.505000000
51687,3,ApproveAfterChange,Meghan Vazquez,http://review.couchbase.org/#/c/51687/3,2015-06-03,00:26:30.462000000
51688,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51688/2,2015-06-03,00:29:11.425000000
51689,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51689/2,2015-06-03,00:31:49.276000000
51694,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51694/2,2015-06-03,00:33:39.095000000
51704,3,ApproveAfterChange,Meghan Vazquez,http://review.couchbase.org/#/c/51704/3,2015-06-03,00:40:45.795000000
51709,3,ApproveAfterChange,Philip Lara,http://review.couchbase.org/#/c/51709/3,2015-06-06,03:43:31.019000000
51710,3,ApproveAfterChange,Philip Lara,http://review.couchbase.org/#/c/51710/3,2015-06-06,03:44:22.163000000
51718,1,Rejected,Philip Lara,http://review.couchbase.org/#/c/51718/1,2015-06-22,21:35:01.992000000
51719,1,Rejected,Philip Lara,http://review.couchbase.org/#/c/51719/1,2015-06-22,21:34:36.410000000
51720,4,ApproveAfterChange,Philip Lara,http://review.couchbase.org/#/c/51720/4,2015-06-25,01:25:57.800000000
51721,4,ApproveAfterChange,Philip Lara,http://review.couchbase.org/#/c/51721/4,2015-06-25,01:26:23.870000000
51723,12,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51723/12,2015-08-11,19:41:02.717000000
51724,14,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51724/14,2015-08-12,19:47:51.449000000
51725,22,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51725/22,2015-08-12,22:23:43.619000000
51726,6,Rejected,Shaniya Barton,http://review.couchbase.org/#/c/51726/6,2015-06-17,18:49:05.274000000
51727,29,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51727/29,2015-08-15,03:13:07.285000000
51733,4,ApproveAfterChange,Philip Lara,http://review.couchbase.org/#/c/51733/4,2015-06-08,19:00:07.368000000
51740,13,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51740/13,2015-08-11,19:43:43.052000000
51755,2,DirectlyApprove,Philip Lara,http://review.couchbase.org/#/c/51755/2,2015-06-08,19:04:46.378000000
51760,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51760/2,2015-06-06,00:32:38.258000000
51761,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51761/2,2015-06-06,00:32:38.610000000
51762,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51762/2,2015-06-06,00:32:38.912000000
51763,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51763/2,2015-06-06,00:32:39.216000000
51764,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51764/2,2015-06-06,00:32:39.532000000
51765,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51765/2,2015-06-06,00:32:39.847000000
51781,1,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51781/1,2015-06-06,00:32:40.456000000
51782,1,Rejected,Shaniya Barton,http://review.couchbase.org/#/c/51782/1,2015-06-06,18:19:31.686000000
51804,3,ApproveAfterChange,Meghan Vazquez,http://review.couchbase.org/#/c/51804/3,2015-06-08,23:57:44.519000000
51805,3,ApproveAfterChange,Meghan Vazquez,http://review.couchbase.org/#/c/51805/3,2015-06-08,23:58:31.949000000
51806,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51806/2,2015-06-08,23:58:56.577000000
51831,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51831/2,2015-06-11,00:49:27.242000000
51832,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51832/2,2015-06-11,00:50:20.573000000
51833,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51833/2,2015-06-11,00:50:20.763000000
51834,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51834/2,2015-06-11,00:50:20.957000000
51835,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51835/2,2015-06-11,00:50:21.155000000
51841,3,ApproveAfterChange,Philip Lara,http://review.couchbase.org/#/c/51841/3,2015-06-09,03:01:42.130000000
51859,5,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51859/5,2015-06-17,22:41:43.596000000
51860,12,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51860/12,2015-06-21,17:18:17.740000000
51877,3,ApproveAfterChange,Ella Beltran,http://review.couchbase.org/#/c/51877/3,2015-06-09,22:39:38.981000000
51884,1,DirectlyApprove,Ella Beltran,http://review.couchbase.org/#/c/51884/1,2015-06-09,23:47:18.337000000
51887,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51887/2,2015-06-10,01:00:21.909000000
51898,3,ApproveAfterChange,Philip Lara,http://review.couchbase.org/#/c/51898/3,2015-06-10,18:43:15.844000000
51899,3,ApproveAfterChange,Philip Lara,http://review.couchbase.org/#/c/51899/3,2015-06-10,19:08:15.814000000
51900,3,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51900/3,2015-06-15,17:11:46.893000000
51911,2,DirectlyApprove,Philip Lara,http://review.couchbase.org/#/c/51911/2,2015-06-14,03:57:42.125000000
