review_number,revision_number,status,author,url,close_date,close_time
46030,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/46030/2,2015-01-29,10:31:32.477000000
46031,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/46031/2,2015-01-29,09:46:00.922000000
46037,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/46037/2,2015-01-29,10:41:50.722000000
46039,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/46039/3,2015-01-30,15:08:29.549000000
46075,9,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/46075/9,2015-01-29,14:58:35.631000000
46138,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/46138/2,2015-01-30,15:29:25.912000000
46140,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/46140/2,2015-01-30,15:29:37.602000000
46224,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/46224/2,2015-02-02,10:42:23.990000000
46310,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/46310/3,2015-02-03,09:21:45.327000000
46324,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/46324/2,2015-02-03,13:41:56.913000000
46377,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/46377/2,2015-02-04,08:54:41.472000000
46576,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/46576/2,2015-02-09,08:27:30.865000000
46580,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/46580/2,2015-02-09,08:45:16.268000000
46582,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/46582/2,2015-02-09,09:19:47.630000000
46593,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/46593/2,2015-02-09,14:15:35.030000000
46624,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/46624/3,2015-02-11,13:53:08.547000000
46679,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/46679/3,2015-02-11,11:15:44.946000000
46682,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/46682/3,2015-02-11,13:23:33.468000000
46690,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/46690/2,2015-02-11,18:17:24.898000000
46692,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/46692/3,2015-02-11,15:48:01.693000000
46740,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/46740/2,2015-02-12,15:49:26.753000000
46873,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/46873/2,2015-02-16,08:12:46.324000000
46934,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/46934/3,2015-02-17,10:49:00.520000000
46935,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/46935/2,2015-02-17,12:50:25.126000000
46950,4,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/46950/4,2015-02-26,10:56:30.220000000
46951,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/46951/2,2015-02-18,08:38:02.195000000
47230,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/47230/2,2015-02-23,20:31:15.352000000
47399,4,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/47399/4,2015-02-26,15:56:57.119000000
47543,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/47543/2,2015-03-02,11:01:36.974000000
47939,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/47939/2,2015-03-09,13:54:45.367000000
47946,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/47946/2,2015-03-09,17:27:06.144000000
48006,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/48006/2,2015-03-10,12:08:47.700000000
48010,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/48010/2,2015-03-10,16:31:31.928000000
48108,2,Rejected,Marlie Beasley,http://review.couchbase.org/#/c/48108/2,2015-03-12,13:13:10.424000000
48165,4,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/48165/4,2015-03-12,15:07:53.493000000
48172,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/48172/2,2015-03-12,15:22:40.783000000
48311,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/48311/3,2015-03-16,08:29:22.636000000
48373,8,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/48373/8,2015-03-27,12:31:25.327000000
48694,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/48694/3,2015-03-27,08:49:17.340000000
48985,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/48985/3,2015-04-01,12:12:07.622000000
49020,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/49020/2,2015-04-01,11:59:37.489000000
49023,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/49023/3,2015-04-01,11:59:34.479000000
49157,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/49157/2,2015-04-03,08:01:17.199000000
49163,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/49163/2,2015-04-03,12:32:16.141000000
49164,1,Rejected,Marlie Beasley,http://review.couchbase.org/#/c/49164/1,2015-04-07,13:08:41.248000000
49299,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/49299/2,2015-04-07,08:29:05.499000000
49307,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/49307/2,2015-04-07,14:51:49.996000000
49377,11,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/49377/11,2015-04-13,16:08:25.886000000
49427,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/49427/2,2015-04-09,07:53:14.666000000
49430,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/49430/2,2015-04-10,09:38:58.324000000
49440,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/49440/3,2015-04-10,10:16:08.174000000
49449,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/49449/3,2015-04-13,16:14:45.207000000
49606,4,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/49606/4,2015-04-14,15:22:44.500000000
49805,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/49805/2,2015-04-17,16:50:07.816000000
49859,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/49859/2,2015-04-17,16:49:44.298000000
49888,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/49888/2,2015-04-20,08:57:24.557000000
49889,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/49889/2,2015-04-20,10:13:07.090000000
49890,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/49890/2,2015-04-20,10:13:14.413000000
49891,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/49891/2,2015-04-20,10:13:21.277000000
49901,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/49901/3,2015-04-21,15:53:15.488000000
49940,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/49940/2,2015-04-21,07:43:27.490000000
49941,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/49941/2,2015-04-21,07:43:23.786000000
49989,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/49989/2,2015-04-21,15:51:30.525000000
49990,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/49990/3,2015-04-21,16:45:07.519000000
50061,5,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/50061/5,2015-04-24,09:16:50.766000000
50190,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/50190/3,2015-04-27,07:28:33.953000000
50194,1,Rejected,Lucia Hendrix,http://review.couchbase.org/#/c/50194/1,2015-04-24,17:13:24.215000000
50274,4,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/50274/4,2015-04-27,14:32:36.687000000
50314,1,Rejected,Marlie Beasley,http://review.couchbase.org/#/c/50314/1,2015-04-28,10:14:26.609000000
50318,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/50318/2,2015-04-28,10:21:41.864000000
50323,4,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/50323/4,2015-04-28,16:26:09.554000000
50327,9,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/50327/9,2015-05-11,12:26:37.482000000
50385,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/50385/3,2015-04-29,15:51:17.689000000
50411,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/50411/2,2015-04-30,07:00:39.780000000
50544,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/50544/2,2015-05-04,12:32:47.966000000
50705,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/50705/3,2015-05-11,12:26:46.960000000
50839,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/50839/2,2015-05-11,12:54:56.334000000
50841,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/50841/3,2015-05-18,18:22:32.132000000
50842,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/50842/2,2015-05-18,18:22:20.789000000
50963,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/50963/2,2015-05-18,18:23:43.812000000
50964,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/50964/2,2015-05-18,18:23:32.118000000
51096,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/51096/2,2015-05-18,18:23:08.086000000
51153,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/51153/2,2015-05-18,15:01:22.741000000
